"","parasite","detritivore","primary producer","herbivore","omnivore","predator","detritivore","primary producer","herbivore","predator","several","primary producer","herbivore","omnivore","predator"
"parasite",0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
"detritivore",0,0,0,0,0,0,-1.4,0,-2,-1,-0.636363636363636,0,0,0,0
"primary producer",0,0,0,0,0,0,0.5,-0.533333333333333,-0.214285714285714,-0.333333333333333,-0.166666666666667,0,0,0,0
"herbivore",0,0,0,0,0,0,-1,0,-1,0,-0.260869565217391,0,0,0,0
"omnivore",0,0,0,0,0,0,-2,-0.625,-1,1,0,0,0,0,0
"predator",0,0,0,0,0,0,-1.5,-1,-0.666666666666667,-0.6,-1.40909090909091,0,0,0,0
"detritivore",-1,-1.4,0.5,-1,-2,-1.5,0,0,0,0,0,-2,0,0,0
"primary producer",0,0,-0.533333333333333,0,-0.625,-1,0,0,0,0,0,-0.6875,-2,-1,0
"herbivore",0,-2,-0.214285714285714,-1,-1,-0.666666666666667,0,0,0,0,0,0,0,0,0
"predator",0,-1,-0.333333333333333,0,1,-0.6,0,0,0,0,0,0,0,-2,-1.33333333333333
"several",0,-0.636363636363636,-0.166666666666667,-0.260869565217391,0,-1.40909090909091,0,0,0,0,0,-0.5,0,-1,0
"primary producer",0,0,0,0,0,0,-2,-0.6875,0,0,-0.5,0,0,0,0
"herbivore",0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0
"omnivore",0,0,0,0,0,0,0,-1,0,-2,-1,0,0,0,0
"predator",0,0,0,0,0,0,0,0,0,-1.33333333333333,0,0,0,0,0
