"","algae","annelid","bryozoan","cnidarian","crustacean","ctenophora","echinoderm","fish","insect","mammal","mollusk","plant","tunicate","algae","annelid","bacteria","bird","cnidarian","crustacean","echinoderm","fish","insect","mollusk","multiple","plant","sponge","tunicate"
"algae",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.748858227848101,-0.258806666666667,0,0,-0.292722222222222,-0.25677027027027,0.466692,0.300009090909091,-1.3337,0.181660606060606,-0.0941158415841584,-0.452441666666667,0,0
"annelid",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.654604545454545,0.201983333333333,0,0.603457142857143,0,0.213875,0,0,0,-2.064875,-0.586377777777778,0,0.1214,0.1682
"bryozoan",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5189,0,0,0,0,0,0,0,0,0,0.56935,0,0,0
"cnidarian",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.126483333333333,0,0,0,0,0,0.3029,0,0,0
"crustacean",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.75112,-0.7287,0,0.3463,0,-0.835714285714286,0,0,0,-0.461388461538462,-0.718363157894737,-0.2692,0,0
"ctenophora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.141533333333333,0,0,0,0,0,0,0,0
"echinoderm",0,0,0,0,0,0,0,0,0,0,0,0,0,-2.7898,0,0,0,0,0,-0.19865,0,0,-0.405366666666667,0,0,0,0
"fish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.227832,0,0,0,0,0,0
"insect",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2044,0,0,0,0,0
"mammal",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8301,0,0,-0.26195,0.5346,0.894,0.3703,0,0,0.5641,0,0,0.4671,0.5442
"mollusk",0,0,0,0,0,0,0,0,0,0,0,0,0,0.80635,-0.33187619047619,1.02551666666667,0.14415,0,-0.264657142857143,0,-0.118,-2.3009,-0.520287037037037,0.335854128440367,0,0,-0.824375
"plant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.77424,0.624966666666667,-0.352910526315789,0,-1.7448,0,-0.199866666666667,0.261933333333333,0,0.00949534883720931,0.041846511627907,0,0
"tunicate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5783,0,0,0,-0.122533333333333,0.443833333333333,0,0,5e-05,1.1807375,0,0.796,0
"algae",-0.748858227848101,-0.654604545454545,-0.5189,0,-0.75112,0,-2.7898,0,0,-0.8301,0.80635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"annelid",-0.258806666666667,0.201983333333333,0,0,-0.7287,0,0,0,0,0,-0.33187619047619,-0.77424,0.5783,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bacteria",0,0,0,0,0,0,0,0,0,0,1.02551666666667,0.624966666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bird",0,0.603457142857143,0,0,0.3463,0,0,0,0,-0.26195,0.14415,-0.352910526315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cnidarian",-0.292722222222222,0,0,-0.126483333333333,0,0,0,0,0,0.5346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"crustacean",-0.25677027027027,0.213875,0,0,-0.835714285714286,-0.141533333333333,0,0,0,0.894,-0.264657142857143,-1.7448,-0.122533333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"echinoderm",0.466692,0,0,0,0,0,-0.19865,0,0,0.3703,0,0,0.443833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fish",0.300009090909091,0,0,0,0,0,0,-0.227832,0,0,-0.118,-0.199866666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"insect",-1.3337,0,0,0,0,0,0,0,-0.2044,0,-2.3009,0.261933333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mollusk",0.181660606060606,-2.064875,0,0,-0.461388461538462,0,-0.405366666666667,0,0,0.5641,-0.520287037037037,0,5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"multiple",-0.0941158415841584,-0.586377777777778,0.56935,0.3029,-0.718363157894737,0,0,0,0,0,0.335854128440367,0.00949534883720931,1.1807375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"plant",-0.452441666666667,0,0,0,-0.2692,0,0,0,0,0,0,0.041846511627907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sponge",0,0.1214,0,0,0,0,0,0,0,0.4671,0,0,0.796,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tunicate",0,0.1682,0,0,0,0,0,0,0,0.5442,-0.824375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
