"","algae","plant","seagrass","bryozoan","cnidarian","annelid","echinoderm","mollusk","crustacean","tunicate","fish","bacteria","algae","plant","seagrass","bryozoan","cnidarian","annelid","echinoderm","mollusk","crustacean","insect","tunicate","fish","multiple","plant","insect","mammal"
"algae",0,0,0,0,0,0,0,0,0,0,0,0,-0.716628842415584,-0.100120977,-0.403092346545455,0,-0.144350331181818,-0.3641537126,-0.45282479876,0.08444208688,-0.303032070054054,-1.33189237466667,0,-0.582185724857143,-0.0957598403451328,0,0,0
"plant",0,0,0,0,0,0,0,0,0,0,0,-1.08124577323529,0,-0.604442757142857,0,0,0,-0.4607414178,0,0,-0.910646913666667,-0.5554449025,0,0,-0.653253170333333,0,0,0
"seagrass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8963315595,0,0,0,0,0,0,0,0,0,0,0,0,0
"bryozoan",0,0,0,0,0,0,0,0,0,0,0,0,-0.6090785395,0,0,0,0,0,0,0,0,0,0,0,0.569359056,0,0,0
"cnidarian",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.127134798583333,0,0,0,-0.141519435666667,0,0,0,-0.30287535,0,0,0
"annelid",0,0,0,0,0,0,0,0,0,0,0,0,-0.55355638892,0,0,0,0,0.250192767363636,0,-2.9108382305,-0.2129433825,0,0,0,-0.344411974913043,0,0,0
"echinoderm",0,0,0,0,0,0,0,0,0,0,0,0,-2.78979228733333,0,0,0,0,0,-0.198653554375,-0.405361763416667,0,0,0,0,0,0,0,0
"mollusk",0,0,0,0,0,0,0,0,0,0,0,-0.287317851333333,1.0239980872,0,0,0,0,-0.475878749,0,-0.806205519833333,-0.230071302555556,-2.300943,-0.81901135,-0.1180143,0.328820601160377,0,0,0
"crustacean",0,0,0,0,0,0,0,0,0,0,0,0,-0.9263684635,-0.269187499,0,0,0,-1.29528716583333,0,-0.922453433666667,-1.1135430695,0,0,0,-0.265878513944444,0,0,0
"tunicate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.795977579,0,0.578267334,-0.583767300333333,-0.106236405714286,-0.122537978047619,0,0,0,1.34940122214286,0,0,0
"fish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25613531448,0,0,0,0
"bacteria",0,-1.08124577323529,0,0,0,0,0,-0.287317851333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"algae",-0.716628842415584,0,0,-0.6090785395,0,-0.55355638892,-2.78979228733333,1.0239980872,-0.9263684635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.830067162
"plant",-0.100120977,-0.604442757142857,0,0,0,0,0,0,-0.269187499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0974716658108108,0,0
"seagrass",-0.403092346545455,0,-0.8963315595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bryozoan",0,0,0,0,0,0,0,0,0,0.795977579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.467051585
"cnidarian",-0.144350331181818,0,0,0,-0.127134798583333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.534648936
"annelid",-0.3641537126,-0.4607414178,0,0,0,0.250192767363636,0,-0.475878749,-1.29528716583333,0.578267334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"echinoderm",-0.45282479876,0,0,0,0,0,-0.198653554375,0,0,-0.583767300333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.370283602
"mollusk",0.08444208688,0,0,0,0,-2.9108382305,-0.405361763416667,-0.806205519833333,-0.922453433666667,-0.106236405714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.564114012
"crustacean",-0.303032070054054,-0.910646913666667,0,0,-0.141519435666667,-0.2129433825,0,-0.230071302555556,-1.1135430695,-0.122537978047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.894022888
"insect",-1.33189237466667,-0.5554449025,0,0,0,0,0,-2.300943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.06562265,-0.201118888333333,0
"tunicate",0,0,0,0,0,0,0,-0.81901135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.544204001
"fish",-0.582185724857143,0,0,0,0,0,0,-0.1180143,0,0,-0.25613531448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"multiple",-0.0957598403451328,-0.653253170333333,0,0.569359056,-0.30287535,-0.344411974913043,0,0.328820601160377,-0.265878513944444,1.34940122214286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.443843655625,0,0
"plant",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0974716658108108,0,0,0,0,0,0,0,-1.06562265,0,0,-0.443843655625,0,0,0
"insect",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.201118888333333,0,0,0,0,0,0
"mammal",0,0,0,0,0,0,0,0,0,0,0,0,-0.830067162,0,0,-0.467051585,-0.534648936,0,-0.370283602,-0.564114012,-0.894022888,0,-0.544204001,0,0,0,0,0
