"","algae","plant","seagrass","bryozoan","cnidarian","annelid","echinoderm","mollusk","crustacean","tunicate","fish","bacteria","algae","plant","seagrass","bryozoan","cnidarian","annelid","echinoderm","mollusk","crustacean","insect","tunicate","fish","multiple","plant","insect","mammal"
"algae",0,0,0,0,0,0,0,0,0,0,0,0,-0.710020547945206,-0.218383333333333,-0.700483333333333,0,-0.301157142857143,-0.30234,-0.383364,0.096544,-0.0970189189189189,-1.3337,0,0.465842857142857,-0.0389115044247788,0,0,0
"plant",0,0,0,0,0,0,0,0,0,0,0,-0.379435294117647,0,-0.605928571428571,0,0,0,-0.46076,0,0,-0.910633333333333,-0.55545,0,0,-0.653257575757576,0,0,0
"seagrass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.89635,0,0,0,0,0,0,0,0,0,0,0,0,0
"bryozoan",0,0,0,0,0,0,0,0,0,0,0,0,-0.5189,0,0,0,0,0,0,0,0,0,0,0,0.56935,0,0,0
"cnidarian",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.126483333333333,0,0,0,-0.141533333333333,0,0,0,-0.3029,0,0,0
"annelid",0,0,0,0,0,0,0,0,0,0,0,0,-0.5619,0,0,0,0,0.181490909090909,0,-2.064875,0.213875,0,0,0,-0.344413043478261,0,0,0
"echinoderm",0,0,0,0,0,0,0,0,0,0,0,0,-2.7898,0,0,0,0,0,-0.19865,-0.405366666666667,0,0,0,0,0,0,0,0
"mollusk",0,0,0,0,0,0,0,0,0,0,0,-0.287316666666667,1.02398,0,0,0,0,-0.475888888888889,0,-0.893126050420168,-0.226361111111111,-2.3009,-0.824375,-0.118,0.32107641509434,0,0,0
"crustacean",0,0,0,0,0,0,0,0,0,0,0,0,-0.926375,-0.2692,0,0,0,-1.2953,0,-0.927170833333333,-1.11363333333333,0,0,0,-0.265877777777778,0,0,0
"tunicate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.796,0,0.5783,0.443833333333333,-0.106242857142857,-0.122533333333333,0,0,0,1.34941428571429,0,0,0
"fish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.257668,0,0,0,0
"bacteria",0,-0.379435294117647,0,0,0,0,0,-0.287316666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"algae",-0.710020547945206,0,0,-0.5189,0,-0.5619,-2.7898,1.02398,-0.926375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8301
"plant",-0.218383333333333,-0.605928571428571,0,0,0,0,0,0,-0.2692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.102602777777778,0,0
"seagrass",-0.700483333333333,0,-0.89635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bryozoan",0,0,0,0,0,0,0,0,0,0.796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4671
"cnidarian",-0.301157142857143,0,0,0,-0.126483333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5346
"annelid",-0.30234,-0.46076,0,0,0,0.181490909090909,0,-0.475888888888889,-1.2953,0.5783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"echinoderm",-0.383364,0,0,0,0,0,-0.19865,0,0,0.443833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3703
"mollusk",0.096544,0,0,0,0,-2.064875,-0.405366666666667,-0.893126050420168,-0.927170833333333,-0.106242857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5641
"crustacean",-0.0970189189189189,-0.910633333333333,0,0,-0.141533333333333,0.213875,0,-0.226361111111111,-1.11363333333333,-0.122533333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.894
"insect",-1.3337,-0.55545,0,0,0,0,0,-2.3009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.670625,-0.2044,0
"tunicate",0,0,0,0,0,0,0,-0.824375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5442
"fish",0.465842857142857,0,0,0,0,0,0,-0.118,0,0,-0.257668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"multiple",-0.0389115044247788,-0.653257575757576,0,0.56935,-0.3029,-0.344413043478261,0,0.32107641509434,-0.265877777777778,1.34941428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.44385,0,0
"plant",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.102602777777778,0,0,0,0,0,0,0,0.670625,0,0,-0.44385,0,0,0
"insect",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2044,0,0,0,0,0,0
"mammal",0,0,0,0,0,0,0,0,0,0,0,0,-0.8301,0,0,0.4671,0.5346,0,0.3703,0.5641,0.894,0,0.5442,0,0,0,0,0
