"","detritivore","primary producer","herbivore","omnivore","predator","detritivore","primary producer","herbivore","omnivore","predator","several","primary producer","omnivore"
"detritivore",0,0,0,0,0,0.155538695450554,-0.287419375365369,-0.000224164306142979,1.58549746414822,-0.118014262302707,0.0617064014134501,0,0
"primary producer",0,0,0,0,0,-0.37763937143456,-0.51236129327022,-0.18674234288092,-0.604195224990246,-0.338786859753998,-0.264110799621689,0,0
"herbivore",0,0,0,0,0,-0.256316203687341,-0.336191526693362,-0.58303035029111,-1.03117238886812,0.373385203934147,0.378929918638873,0,0
"omnivore",0,0,0,0,0,-0.286455682698962,-0.613465650208617,-1.80071566285805,-0.0235837358610383,-0.628933359239139,-0.101916362284528,0,0
"predator",0,0,0,0,0,-0.170136726478183,-0.7949322704407,-0.5088963145911,-0.85350134077593,-0.719153641525885,-0.369893035519186,0,0
"detritivore",0.155538695450554,-0.37763937143456,-0.256316203687341,-0.286455682698962,-0.170136726478183,0,0,0,0,0,0,0,-0.570365988026171
"primary producer",-0.287419375365369,-0.51236129327022,-0.336191526693362,-0.613465650208617,-0.7949322704407,0,0,0,0,0,0,-0.0906387038599474,-0.830067162221837
"herbivore",-0.000224164306142979,-0.18674234288092,-0.58303035029111,-1.80071566285805,-0.5088963145911,0,0,0,0,0,0,0,-0.540178560256982
"omnivore",1.58549746414822,-0.604195224990246,-1.03117238886812,-0.0235837358610383,-0.85350134077593,0,0,0,0,0,0,0,-0.201118888233941
"predator",-0.118014262302707,-0.338786859753998,0.373385203934147,-0.628933359239139,-0.719153641525885,0,0,0,0,0,0,0,-0.26193803248928
"several",0.0617064014134501,-0.264110799621689,0.378929918638873,-0.101916362284528,-0.369893035519186,0,0,0,0,0,0,-1.66986396333901,0
"primary producer",0,0,0,0,0,0,-0.0906387038599474,0,0,0,-1.66986396333901,0,0
"omnivore",0,0,0,0,0,-0.570365988026171,-0.830067162221837,-0.540178560256982,-0.201118888233941,-0.26193803248928,0,0,0
