,p. producer,herbivore,detritivore,omnivore,predator,p. producer,herbivore,detritivore,omnivore,predator,several
p. producer,0,0,0,0,0,-0.333999505,0.299738776,0.18488,-0.485628571,-0.073768182,-0.147727841
herbivore,0,0,0,0,0,-0.4061875,-0.521156911,0.62163,-0.255536207,0.0736,0.356531746
detritivore,0,0,0,0,0,-0.2818,0,0,1.35188,0,-0.59355
omnivore,0,0,0,0,0,-0.644659259,-0.720364286,0.31261,-0.439666667,0.384973684,-0.303262963
predator,0,0,0,0,0,-0.789766667,-0.354020833,0.09585,-1.285,-0.141214286,-0.299452
p. producer,-0.3340,-0.4062,-0.2818,-0.6447,-0.7898,0,0,0,0,0,0
herbivore,0.2997,-0.5212,0.0000,-0.7204,-0.3540,0,0,0,0,0,0
detritivore,0.1849,0.6216,0.0000,0.3126,0.0959,0,0,0,0,0,0
omnivore,-0.4856,-0.2555,1.3519,-0.4397,-1.2850,0,0,0,0,0,0
predator,-0.0738,0.0736,0.0000,0.3850,-0.1412,0,0,0,0,0,0
several,-0.1477,0.3565,-0.5936,-0.3033,-0.2995,0,0,0,0,0,0
