"","p. producer","herbivore","detritivore","omnivore","predator","p. producer","herbivore","detritivore","omnivore","predator","several"
"p. producer",0,0,0,0,0,-0.333999504950495,0.302604081632653,0.18488,-0.485628571428571,-0.0737681818181818,-0.147727840909091
"herbivore",0,0,0,0,0,-0.4061875,-0.514038211382114,0.62163,-0.255536206896552,0.0736,0.356531746031746
"detritivore",0,0,0,0,0,-0.2818,0,0,1.35188,0,-0.59355
"omnivore",0,0,0,0,0,-0.644659259259259,-0.720364285714286,0.31261,-0.439666666666667,0.384973684210526,-0.303262962962963
"predator",0,0,0,0,0,-0.789766666666667,-0.354020833333333,0.09585,-1.285,-0.1398,-0.299452
"p. producer",-0.333999504950495,-0.4061875,-0.2818,-0.644659259259259,-0.789766666666667,0,0,0,0,0,0
"herbivore",0.302604081632653,-0.514038211382114,0,-0.720364285714286,-0.354020833333333,0,0,0,0,0,0
"detritivore",0.18488,0.62163,0,0.31261,0.09585,0,0,0,0,0,0
"omnivore",-0.485628571428571,-0.255536206896552,1.35188,-0.439666666666667,-1.285,0,0,0,0,0,0
"predator",-0.0737681818181818,0.0736,0,0.384973684210526,-0.1398,0,0,0,0,0,0
"several",-0.147727840909091,0.356531746031746,-0.59355,-0.303262962962963,-0.299452,0,0,0,0,0,0
