"","detritivore","primary producer","herbivore","omnivore","predator","detritivore","primary producer","herbivore","omnivore","predator","several","primary producer","omnivore"
"detritivore",0,0,0,0,0,-0.0259875,0,0,1.5855,-0.118,0.1823,0,0
"primary producer",0,0,0,0,0,-0.218445945945946,-0.559633082706767,-0.172812068965517,-0.588772,-0.0468424242424242,-0.142671052631579,0,0
"herbivore",0,0,0,0,0,0,-2.7898,-0.32268,0,0,0,0,0
"omnivore",0,0,0,0,0,0.0855,-0.313496666666667,-0.799638095238095,-0.725344360902256,0.545,0.211987050359712,0,0
"predator",0,0,0,0,0,-0.170145454545455,-0.79494,-0.519061538461538,-0.856765217391304,-0.719155,-0.36989512195122,0,0
"detritivore",-0.0259875,-0.218445945945946,0,0.0855,-0.170145454545455,0,0,0,0,0,0,0,0.570366666666667
"primary producer",0,-0.559633082706767,-2.7898,-0.313496666666667,-0.79494,0,0,0,0,0,0,-0.0929714285714286,-0.8301
"herbivore",0,-0.172812068965517,-0.32268,-0.799638095238095,-0.519061538461538,0,0,0,0,0,0,0,0.54015
"omnivore",1.5855,-0.588772,0,-0.725344360902256,-0.856765217391304,0,0,0,0,0,0,0,-0.2044
"predator",-0.118,-0.0468424242424242,0,0.545,-0.719155,0,0,0,0,0,0,0.670625,-0.26195
"several",0.1823,-0.142671052631579,0,0.211987050359712,-0.36989512195122,0,0,0,0,0,0,-1.66985,0
"primary producer",0,0,0,0,0,0,-0.0929714285714286,0,0,0.670625,-1.66985,0,0
"omnivore",0,0,0,0,0,0.570366666666667,-0.8301,0.54015,-0.2044,-0.26195,0,0,0
