name,color
algae,#083E77
plant,#083E77
seagrass,#083E77
bryozoan,#083E77
cnidarian,#083E77
annelid,#083E77
echinoderm,#083E77
mollusk,#083E77
crustacean,#083E77
insect,#083E77
tunicate,#083E77
fish,#083E77
mammal,#083E77
bacteria,#BFAE40
Lichens/bryophytes,#BFAE40
algae,#BFAE40
plant,#BFAE40
seagrass,#BFAE40
sponge,#BFAE40
cnidarian,#BFAE40
annelid,#BFAE40
echinoderm,#BFAE40
mollusk,#BFAE40
crustacean,#BFAE40
insect,#BFAE40
bird,#BFAE40
fish,#BFAE40
multiple,#BFAE40
algae,#8a2c00
plant,#8a2c00
seagrass,#8a2c00
bryozoan,#8a2c00
cnidarian,#8a2c00
annelid,#8a2c00
echinoderm,#8a2c00
mollusk,#8a2c00
crustacean,#8a2c00
insect,#8a2c00
tunicate,#8a2c00
fish,#8a2c00
mammal,#8a2c00
