name,color
bacteria,#DF7C00
Lichens/bryophytes,#DF7C00
algae,#DF7C00
plant,#DF7C00
seagrass,#DF7C00
sponge,#DF7C00
cnidarian,#DF7C00
annelid,#DF7C00
echinoderm,#DF7C00
mollusk,#DF7C00
crustacean,#DF7C00
insect,#DF7C00
bird,#DF7C00
fish,#DF7C00
multiple,#DF7C00
algae,#BFAE40
plant,#BFAE40
seagrass,#BFAE40
bryozoan,#BFAE40
cnidarian,#BFAE40
annelid,#BFAE40
echinoderm,#BFAE40
mollusk,#BFAE40
crustacean,#BFAE40
insect,#BFAE40
tunicate,#BFAE40
fish,#BFAE40
mammal,#BFAE40
bacteria,#083E77
Lichens/bryophytes,#083E77
algae,#083E77
plant,#083E77
seagrass,#083E77
sponge,#083E77
cnidarian,#083E77
annelid,#083E77
echinoderm,#083E77
mollusk,#083E77
crustacean,#083E77
insect,#083E77
bird,#083E77
fish,#083E77
multiple,#083E77
